SURVEY_SERIES_ID,BLOCK_DESIGNATION,LATITUDE,LONGITUDE,DEPTH_M,GROUPING_CODE,SELECTION_IND,SELECTION_ID,SELECTION_TYPE_CODE,FE_MAJOR_LEVEL_ID,STATUS_CODE,NUM_FISHING_ATTEMPTS,STATUS
43,7552,49.17229,-127.1069,-714,51,1,1,1,21,6,2,Successfully fished on first attempt
43,7594,49.11405,-126.8624,-205,50,1,1,1,20,6,1,Successfully fished on first attempt
43,7673,49.0041,-126.7577,-293,50,1,1,1,19,6,1,Successfully fished on first attempt
43,7820,48.86132,-126.8187,-1123,52,1,1,1,18,6,1,Successfully fished on first attempt
43,7867,48.81873,-126.4935,-217,50,1,1,1,15,6,1,Successfully fished on first attempt
43,7871,48.8079,-126.8482,-1285,52,1,1,1,17,6,1,Successfully fished on first attempt
43,7891,48.78992,-126.849,-1308,52,1,1,1,NULL,9,0,Block not fished successfully but remains in sampling frame
43,7950,48.74563,-126.4428,-537,51,1,1,1,13,6,1,Successfully fished on first attempt
43,7967,48.73002,-126.5524,-670,51,1,1,1,16,6,1,Successfully fished on first attempt
43,8071,48.65009,-126.2032,-271,50,1,1,1,12,6,1,Successfully fished on first attempt
43,8211,48.50762,-126.2652,-731,51,1,1,1,11,6,1,Successfully fished on first attempt
43,8268,48.44006,-126.4582,-1241,52,1,1,1,10,6,1,Successfully fished on first attempt
43,8283,48.43039,-126.053,-190,50,1,1,1,8,6,1,Successfully fished on first attempt
43,8296,48.41646,-126.216,-659,51,1,1,1,9,6,1,Successfully fished on first attempt
43,8393,48.33915,-126.0043,-717,51,1,1,1,6,6,1,Successfully fished on first attempt
43,8436,48.30251,-125.9795,-546,51,1,1,1,2,6,1,Successfully fished on first attempt
43,8438,48.30108,-125.9256,-310,50,1,1,1,1,6,1,Successfully fished on first attempt
43,8450,48.288,-126.1152,-1067,52,1,1,1,4,6,1,Successfully fished on first attempt
43,8469,48.27003,-126.1162,-1289,NULL,1,1,1,NULL,2,0,Rejected based on on-ground inspection
43,8476,48.26515,-125.9278,-550,51,1,1,1,5,6,1,Successfully fished on first attempt
43,8526,48.21612,-126.1192,-1072,52,1,1,1,3,6,1,Successfully fished on first attempt
43,8648,50.68079,-128.887,-208,53,1,1,1,45,6,1,Successfully fished on first attempt
43,8684,50.64437,-128.6608,-184,53,1,1,1,44,6,1,Successfully fished on first attempt
43,8756,50.51847,-128.6617,-1060,55,1,2,1,43,6,1,Successfully fished on first attempt
43,8776,50.48212,-128.5492,-236,53,1,1,1,42,6,1,Successfully fished on first attempt
43,8833,50.37371,-128.4377,-248,53,1,1,1,41,6,1,Successfully fished on first attempt
