"set","spatial_stratum","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam","do"
1,"S1","StRS","RD1","Oct  7 ","07:57",1330,"3C        ",48,8.6,125,55.8,48,8.1,125,56.3,328,313,307,25,"x",,,,
2,"S1","StRS","RD2","Oct  7 ","09:03",1443,"3C        ",48,8.6,125,58.6,48,8.1,125,59.1,571,598,594,25,"x",,,,
3,"S1","StRS","RD3","Oct  7 ","10:52",1504,"3C        ",48,2.5,126,6.3,48,2.5,126,7.3,1051,1048,1052,25,"x",,,,
4,"S1","StRS","RD3","Oct  7 ","12:25",1525,"3C        ",48,7.7,126,5.8,48,7.8,126,6.8,977,1053,998,25,"x",,,,
5,"S1","StRS","RD2","Oct  7 ","14:13",1545,"3C        ",48,6.4,125,55.1,48,6.1,125,56,484,514,503,25,"x","x",,"x",
6,"S1","StRS","RD2","Oct  7 ","15:43",1604,"3C        ",48,0.9,125,59.5,48,0.8,126,0.7,736,737,707,25,"x","x",,"x",
7,,"StRS",,"Oct  7 ","17:35",1594,"3C        ",48,1.3,126,4.8,48,0.3,126,6.6,415,546,482,56,"x","x",,"x",
8,"S1","StRS","RD1","Oct  9 ","07:59",1325,"3C        ",48,5.4,126,3.2,48,5.5,126,4.2,187,196,191,25,"x",,,,
9,"S1","StRS","RD2","Oct  9 ","09:39",1378,"3C        ",48,5.4,126,12.2,48,5.4,126,13.2,532,601,567,25,"x",,,,
10,"S1","StRS","RD3","Oct  9 ","11:50",1473,"3C        ",48,6,126,26.4,48,6,126,27.4,1199,1264,1220,25,"x",,,,
11,"S1","StRS","RD2","Oct  9 ","14:58",1421,"3C        ",48,0,126,15,48,0.2,126,16.1,655,711,685,25,"x","x",,"x",
12,"S1","StRS","RD1","Oct  9 ","16:45",1451,"3C        ",48,8.5,126,11.9,48,8.5,126,13,205,421,316,25,"x","x",,"x",
13,"S1","StRS","RD2","Oct  9 ","18:58",1503,"3C        ",48,5.3,126,27.2,48,4.6,126,27.2,467,576,520,25,"x","x",,"x",
14,,"StRS",,"Oct 11 ","09:28",488,"3C        ",48,8.1,126,43.1,48,8,126,45.5,396,474,432,57,"x","x",,"x",
15,"S1","StRS","RD1","Oct 13 ","05:58",1326,"3C        ",48,8.6,126,29.2,48,8.6,126,30.2,224,236,229,25,"x",,,,
16,"S1","StRS","RD2","Oct 13 ","07:42",1332,"3C        ",48,4.1,126,32.5,48,3.6,126,33,553,612,583,25,"x",,,,
17,"S1","StRS","RD3","Oct 13 ","10:20",1366,"3C        ",48,8.9,126,49.7,48,9,126,50.6,1254,1326,1298,25,"x",,,,
18,"S1","StRS","RD3","Oct 13 ","11:55",1380,"3C        ",48,2.2,126,48.7,48,2.2,126,49.8,1124,1139,1135,25,"x",,,,
19,"S1","StRS","RD1","Oct 13 ","14:12",1371,"3C        ",48,9.8,126,45.2,48,9.8,126,46.2,315,337,324,25,"x","x",,"x",
20,"S1","StRS","RD1","Oct 13 ","16:16",1368,"3D        ",49,0.4,126,51.7,49,0.4,126,52.9,209,233,220,25,"x","x",,"x",
21,"S1","StRS","RD2","Oct 15 ","05:59",1324,"3D        ",49,0.9,127,5.5,49,0.5,127,6.4,595,691,643,25,"x",,,,
22,"S2","StRS","RD1","Oct 15 ","08:10",1323,"3D        ",49,8.5,127,7.5,49,8.5,127,8.5,194,205,199,25,"x",,,,
23,"S2","StRS","RD3","Oct 15 ","10:16",1353,"3D        ",49,8.6,127,18.6,49,8.7,127,19.7,1261,1316,1285,25,"x",,,,
