"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
86130,1,"T","D,SD","A","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,F","D,F","D,SD","D,SD","D,SD",,
86130,2,"D,F","A","T,F","D,SD","D,F","D,SD","D,F","D,SD","T","D,SD","D,SD","D,SD","D,SD","A,F","D,F","D,F","D,F","T,F","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
86130,3,"A",,"A","A","T","D","A","T","D,SD","D","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","T,SD","T,SD",,
86130,4,"T",,"A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD",,
86130,5,"D,F","A,F","T,F","D,SD","D,SD","D,F","D,SD","D,SD","D,SD","D,F","D,F","T","D,SD",,"D,F","D,F","A","D,SD","D,F","D,F","D,F","D,SD","T,F","D,F","D,F","D,F",
86130,6,"D,F","T","D,F","A","T,F","D,SD","A","T","D,SD","A","T","D,SD","D,SD",,"D,SD","A","T","D,F","D,SD","T","D,SD","A,F","T,F","D,F","D,SD","D,F",
86130,7,"D,SD",,,,,,,,,,,,,,,,,,,,,,,,,,
86130,8,"D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","D,SD","D","D,SD","A","D","D",,
86130,9,"D,SD","T","D,SD","D,SD","D,SD","T,SD","A","D,SD","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T",,
86130,10,"T","D,SD","A","T","D","A","T","A","D,SD","T","D","A","T","T","D","T","D","A","T","D,SD","D","T","D,SD","D,SD","T",,
86130,11,"D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD",,"D,SD","D,SD","D,SD","T","D,SD","A","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD",
86130,12,"D,SD","T","D,SD","D,SD","T","D,SD","A,F","T","D,SD","D,F","D,SD","D,F","D,F",,"D,SD","T,SD","T","D,SD","D,SD","D,F","D,SD","A","D,SD","D,SD","D,SD","D",
86130,13,"T","D,SD","D,SD","D,SD","D,SD","A,F","T","D,SD","D,SD","T","T,SD","D,SD","D,SD",,"D,SD","T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD",
86130,14,"D,SD",,,,,,,,,,,,,,,,,,,,,,,,,,
86130,15,"A","T","A","D,SD","T",,,,"A","D,SD","T",,"A","T","D,SD",,"T",,"A","T","A","D,SD","T","D,SD","D,SD",,
86130,16,"T","T,SD","D,SD","D,SD","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","T,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","A","D,SD","D,SD","D,SD","D,SD",,
86130,17,"A","T","T","D","A","T",,,,"A",,"T","D",,,"A","A","T","D","A",,"D",,"T","D",,
86130,18,"A","T","T,SD","D,SD","T",,"A","T","D,SD","D","T","D,SD","T,SD","T",,"A","T","D,SD","D,SD","T","D,SD","A","T","T,SD","T,SD",,
86130,19,"D,SD","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T",,"D,SD","T",,"A","T",,"A",,,"A","T","A",
86130,20,"D","A","T","A","A","T","D,SD","A","T","D,SD",,,"D,SD",,,"A",,"T","D","D,SD","T",,,,"D","D",
86130,21,"A","T","D","A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","T,SD","T","D,SD","A","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
86130,22,"T","D,SD",,"D,SD","D","A","T",,"A",,,,,"D,SD",,"T","A","A","T","D,SD",,,"A","D,SD","T",,
86130,23,"A","A","T","D","A","T","D","A","T","D","A","T","D","D","T","D,SD","A","T",,"A","T",,,"T","A",,
86130,24,"A","T","D,SD","D,SD","T","D,SD","T","T","T,SD","T,SD","T","D,SD","D,SD","D,SD","D,SD","T,SD","T","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD",,
86130,25,"T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","T",,"D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD",
