"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,3403,1829,0,0,139,137,549,49,49,49,49,49,49,0.31,528,575
2,2645,1567,0,0,190,190,536,50,49,49,49,49,50,0.73,537,580
3,857,330,5,0,102,107,622,51,51,51,51,51,51,0.16,615,632
4,953,489,0,0,121,121,571,57,52,52,52,52,57,0.63,556,604
5,3565,2123,1,0,143,144,541,55,55,55,50,55,55,0.62,535,578
6,880,527,1,0,121,122,546,54,48,48,48,48,54,0.69,546,569
7,0,2476,0,0,0,0,,0,0,0,,0,0,0,0,0
8,1907,727,0,0,139,139,610,58,57,57,58,58,58,0.11,558,607
9,1709,938,2,0,123,125,536,43,43,43,43,43,43,0.67,544,550
10,867,284,1,0,93,94,653,50,51,51,51,51,51,0.12,638,659
11,1323,761,1,0,137,138,531,46,46,46,44,46,46,0.83,541,594
12,1811,825,1,0,127,128,582,58,54,54,54,54,58,0.07,569,596
13,1353,768,1,0,135,136,538,57,57,57,57,57,57,0.75,538,563
14,0,1861,0,9,0,9,580,9,9,9,9,9,9,0.89,599,580
15,869,304,0,0,122,122,624,55,55,55,55,55,55,0.24,585,625
16,1116,716,3,0,130,133,508,51,51,51,51,51,51,0.86,510,524
17,367,102,1,0,19,20,685,48,48,48,48,48,48,0.02,530,692
18,824,312,4,0,97,101,619,50,49,50,50,50,50,0.2,590,626
19,743,397,0,0,98,98,528,56,57,57,57,57,57,0.44,529,554
20,347,137,0,0,33,33,606,54,54,54,54,54,54,0.28,572,638
21,1127,741,4,0,146,150,518,50,50,50,50,50,50,0.78,509,575
22,527,197,0,0,60,59,620,47,47,47,47,47,47,0.11,537,605
23,342,102,0,0,29,29,646,47,47,47,47,47,47,0.04,630,668
24,1236,755,4,0,145,149,545,52,52,52,52,52,52,0.48,528,579
25,2729,1219,0,0,134,134,567,47,47,47,47,47,47,0.4,554,574
26,2070,960,1,0,129,129,582,55,55,55,55,55,55,0.62,565,599
27,0,1892,0,4,0,4,558,4,4,4,4,4,4,0.5,565,638
28,846,493,0,0,136,135,540,51,51,51,51,51,51,0.65,530,568
29,802,441,1,0,127,126,539,48,47,47,47,47,48,0.79,514,562
30,751,441,1,0,110,111,544,52,52,52,52,52,52,0.62,538,600
31,920,495,3,0,116,119,537,49,49,49,49,49,50,0.71,546,554
32,1100,632,1,1,102,104,536,49,49,49,49,49,49,0.67,512,562
33,1377,980,0,0,147,147,514,52,52,52,52,52,52,0.63,498,531
34,1059,468,7,0,105,111,591,48,48,48,48,48,48,0.21,537,594
35,406,176,0,0,54,53,594,53,53,53,53,53,53,0.36,512,576
36,503,217,3,0,59,62,578,54,54,54,54,54,54,0.24,562,606
37,618,281,1,0,61,62,582,54,54,54,54,54,54,0.31,522,581
38,255,131,0,0,69,68,536,51,51,51,51,51,51,0.35,536,560
39,484,154,0,0,88,87,631,58,58,58,56,58,58,0.33,616,680
40,690,355,1,0,130,131,547,52,52,52,52,52,52,0.75,528,587
41,2372,1143,0,0,190,189,559,59,59,59,59,59,59,0.22,527,589
42,1052,462,1,0,121,122,588,54,52,52,52,52,54,0.08,575,606
43,588,262,2,0,133,134,581,53,53,53,53,53,53,0.64,583,655
44,351,161,0,0,91,91,586,54,49,49,48,49,55,0.27,543,587
45,709,286,0,0,116,116,593,54,53,53,53,53,54,0.23,551,587
46,1070,361,2,0,127,128,628,57,56,56,56,56,57,0.13,578,634
47,110,41,0,0,11,11,594,30,30,30,30,30,30,0.33,579,641
48,1326,536,1,0,131,132,595,51,51,51,51,51,51,0.43,590,596
49,294,65,0,0,28,28,679,31,31,31,31,31,31,0.19,625,748
50,473,134,0,0,81,80,668,49,49,49,49,49,49,0.2,616,676
51,965,464,0,0,127,127,575,55,55,55,55,55,55,0.44,562,588
52,231,72,0,0,19,19,665,47,47,47,47,47,47,0.06,508,664
53,262,74,0,0,19,19,652,47,47,47,47,47,47,0.26,605,703
54,1616,924,0,0,122,122,532,47,47,47,47,47,47,0.49,536,553
55,1072,472,0,0,120,120,570,51,51,51,51,51,51,0.55,541,555
56,1149,506,0,0,130,129,583,51,51,51,51,51,51,0.47,540,596
57,762,443,2,0,113,115,548,59,59,59,59,59,59,0.44,519,543
58,29,9,0,0,5,5,646,4,4,4,4,4,4,0.25,665,662
59,266,90,0,0,30,30,629,52,52,52,52,52,52,0.25,633,675
60,269,81,0,0,24,24,678,46,46,46,46,46,46,0.24,666,678
61,2227,1332,1,0,185,186,517,58,58,58,58,58,58,0.55,503,539
62,1122,574,1,0,118,119,572,51,51,51,51,51,51,0.61,563,606
63,0,1360,0,1,0,1,796,1,1,1,1,1,1,0,0,775
64,1659,543,0,0,138,138,644,55,55,55,55,55,55,0.33,601,672
65,40,16,0,0,10,10,580,6,6,6,6,6,6,0.33,548,614
66,215,89,1,0,14,15,622,45,45,45,45,45,45,0.67,616,631
67,1107,360,2,1,110,113,637,51,50,50,50,50,51,0.32,618,657
68,1047,374,0,0,115,115,607,44,44,44,42,44,44,0.32,583,628
69,2324,1280,1,0,138,139,565,64,50,50,50,50,64,0.48,548,569
70,1599,657,1,0,133,134,604,53,53,53,53,53,53,0.38,590,622
71,2006,1137,1,0,134,135,527,55,54,54,54,54,55,0.44,499,565
72,585,190,0,0,55,55,647,49,49,49,49,49,49,0.37,613,654
73,678,197,3,0,57,60,670,53,52,52,52,52,53,0.17,584,689
74,995,429,0,0,140,140,565,51,51,51,51,51,51,0.49,571,604
75,1426,909,1,0,127,128,538,51,52,52,52,52,52,0.75,534,597
76,1089,569,1,0,147,148,557,51,51,51,51,51,51,0.69,562,636
77,779,288,1,0,108,109,626,52,52,52,52,52,52,0.35,540,644
78,1091,616,1,0,129,130,555,54,54,54,54,54,54,0.69,540,561
79,1380,1025,1,0,126,127,500,52,52,52,52,52,52,0.58,502,551
80,1351,887,5,0,127,132,505,54,54,54,54,54,54,0.61,497,552
81,1050,588,5,0,132,137,555,49,49,49,49,49,49,0.61,539,559
81,82117,48609,82,16,7997,8079,,3874,3832,3833,3822,3834,3879,,,
