"YEAR","TRIP_ID","SET_ID","BECKET","TRAP","total_count"
2021,86130,1,1,1,38
2021,86130,1,2,2,66
2021,86130,1,3,3,48
2021,86130,1,4,4,107
2021,86130,1,5,5,29
2021,86130,1,6,6,99
2021,86130,1,7,7,70
2021,86130,1,8,8,26
2021,86130,1,9,9,41
2021,86130,1,10,10,73
2021,86130,1,11,11,69
2021,86130,1,12,12,41
2021,86130,1,13,13,15
2021,86130,1,14,14,81
2021,86130,1,15,15,65
2021,86130,1,16,16,92
2021,86130,1,17,17,91
2021,86130,1,18,18,69
2021,86130,1,19,19,95
2021,86130,1,20,20,99
2021,86130,1,21,21,110
2021,86130,1,22,22,118
2021,86130,1,23,23,113
2021,86130,1,24,24,108
2021,86130,1,25,25,66
2021,86130,2,1,1,59
2021,86130,2,2,2,41
2021,86130,2,3,3,75
2021,86130,2,4,4,62
2021,86130,2,5,5,67
2021,86130,2,6,6,90
2021,86130,2,7,7,80
2021,86130,2,8,8,67
2021,86130,2,9,9,37
2021,86130,2,10,10,42
2021,86130,2,11,11,72
2021,86130,2,12,12,54
2021,86130,2,13,13,57
2021,86130,2,14,14,78
2021,86130,2,15,15,64
2021,86130,2,16,16,78
2021,86130,2,17,17,80
2021,86130,2,18,18,81
2021,86130,2,19,19,50
2021,86130,2,20,20,70
2021,86130,2,21,21,53
2021,86130,2,22,22,33
2021,86130,2,23,23,59
2021,86130,2,24,24,54
2021,86130,2,25,25,64
2021,86130,3,1,1,2
2021,86130,3,2,2,
2021,86130,3,3,3,1
2021,86130,3,4,4,12
2021,86130,3,5,5,9
2021,86130,3,6,6,4
2021,86130,3,7,7,25
2021,86130,3,8,8,9
2021,86130,3,9,9,8
2021,86130,3,10,10,11
2021,86130,3,11,11,22
2021,86130,3,12,12,10
2021,86130,3,13,13,16
2021,86130,3,14,14,17
2021,86130,3,15,15,16
2021,86130,3,16,16,23
2021,86130,3,17,17,20
2021,86130,3,18,18,12
2021,86130,3,19,19,24
2021,86130,3,20,20,20
2021,86130,3,21,21,32
2021,86130,3,22,22,12
2021,86130,3,23,23,9
2021,86130,3,24,24,12
2021,86130,3,25,25,4
2021,86130,4,1,1,19
2021,86130,4,2,2,3
2021,86130,4,3,3,12
2021,86130,4,4,4,22
2021,86130,4,5,5,27
2021,86130,4,6,6,48
2021,86130,4,7,7,39
2021,86130,4,8,8,21
2021,86130,4,9,9,11
2021,86130,4,10,10,9
2021,86130,4,11,11,17
2021,86130,4,12,12,32
2021,86130,4,13,13,10
2021,86130,4,14,14,17
2021,86130,4,15,15,21
2021,86130,4,16,16,26
