"YEAR","TRIP_ID","set_no","becket_no","SBE39","HOBO","CTD","CAM","DO"
2021,86130,1,13,1,0,0,0,0
2021,86130,2,13,1,0,0,0,0
2021,86130,3,13,1,0,0,0,0
2021,86130,4,13,1,0,0,0,0
2021,86130,5,14,0,1,0,0,0
2021,86130,5,14,1,0,0,0,0
2021,86130,5,14,0,0,0,1,0
2021,86130,6,14,1,0,0,0,0
2021,86130,6,14,0,0,0,1,0
2021,86130,6,14,0,1,0,0,0
2021,86130,7,5,0,0,0,1,0
2021,86130,7,5,1,0,0,0,0
2021,86130,7,5,0,1,0,0,0
2021,86130,7,30,0,1,0,0,0
2021,86130,7,30,0,0,0,1,0
2021,86130,7,30,1,0,0,0,0
2021,86130,7,55,0,0,0,1,0
2021,86130,7,55,0,1,0,0,0
2021,86130,7,55,1,0,0,0,0
2021,86130,8,13,1,0,0,0,0
2021,86130,9,13,1,0,0,0,0
2021,86130,10,13,1,0,0,0,0
2021,86130,11,14,1,0,0,0,0
2021,86130,11,14,0,1,0,0,0
2021,86130,11,14,0,0,0,1,0
2021,86130,12,14,0,0,0,1,0
2021,86130,12,14,1,0,0,0,0
2021,86130,12,14,0,1,0,0,0
2021,86130,13,14,0,0,0,1,0
2021,86130,13,14,1,0,0,0,0
2021,86130,13,14,0,1,0,0,0
2021,86130,14,2,0,0,0,1,0
2021,86130,14,2,1,0,0,0,0
2021,86130,14,2,0,1,0,0,0
2021,86130,14,30,0,0,0,1,0
2021,86130,14,30,0,1,0,0,0
2021,86130,14,30,1,0,0,0,0
2021,86130,14,59,1,0,0,0,0
2021,86130,14,59,0,1,0,0,0
2021,86130,14,59,0,0,0,1,0
2021,86130,15,13,1,0,0,0,0
2021,86130,16,13,1,0,0,0,0
2021,86130,17,13,1,0,0,0,0
2021,86130,18,13,1,0,0,0,0
2021,86130,19,14,0,0,0,1,0
2021,86130,19,14,1,0,0,0,0
2021,86130,19,14,0,1,0,0,0
2021,86130,20,14,0,0,0,1,0
2021,86130,20,14,1,0,0,0,0
2021,86130,20,14,0,1,0,0,0
2021,86130,21,13,1,0,0,0,0
2021,86130,22,13,1,0,0,0,0
2021,86130,23,13,1,0,0,0,0
2021,86130,24,13,1,0,0,0,0
2021,86130,25,14,0,0,0,1,0
2021,86130,25,14,1,0,0,0,0
2021,86130,25,14,0,1,0,0,0
2021,86130,26,14,0,0,0,1,0
2021,86130,26,14,1,0,0,0,0
2021,86130,26,14,0,1,0,0,0
2021,86130,27,5,1,0,0,0,0
2021,86130,27,5,0,0,0,1,0
2021,86130,27,5,0,1,0,0,0
2021,86130,27,30,1,0,0,0,0
2021,86130,27,30,0,0,0,1,0
2021,86130,27,30,0,1,0,0,0
2021,86130,27,51,0,1,0,0,0
2021,86130,27,51,0,0,0,1,0
2021,86130,27,51,1,0,0,0,0
2021,86130,28,13,1,0,0,0,0
2021,86130,29,13,1,0,0,0,0
2021,86130,30,12,1,0,0,0,0
2021,86130,31,14,1,0,0,0,0
2021,86130,31,14,0,0,0,1,0
2021,86130,31,14,0,1,0,0,0
2021,86130,32,14,0,0,0,1,0
2021,86130,32,14,1,0,0,0,0
2021,86130,32,14,0,1,0,0,0
2021,86130,33,14,0,1,0,0,0
2021,86130,33,14,1,0,0,0,0
2021,86130,33,14,0,0,0,1,0
2021,86130,34,13,1,0,0,0,0
2021,86130,35,13,1,0,0,0,0
2021,86130,36,13,1,0,0,0,0
2021,86130,37,11,1,0,0,0,0
2021,86130,38,14,0,0,0,1,0
2021,86130,38,14,1,0,0,0,0
2021,86130,38,14,0,1,0,0,0
2021,86130,39,13,1,0,0,0,0
2021,86130,40,13,1,0,0,0,0
2021,86130,41,13,1,0,0,0,0
2021,86130,42,13,1,0,0,0,0
2021,86130,43,14,0,0,0,1,0
2021,86130,43,14,0,1,0,0,0
2021,86130,43,14,1,0,0,0,0
2021,86130,44,14,1,0,0,0,0
2021,86130,44,14,0,0,0,1,0
2021,86130,44,14,0,1,0,0,0
2021,86130,45,14,1,0,0,0,0
2021,86130,45,14,0,1,0,0,0
2021,86130,45,14,0,0,0,1,0
2021,86130,46,13,1,0,0,0,0
2021,86130,47,13,1,0,0,0,0
2021,86130,48,13,1,0,0,0,0
2021,86130,49,14,0,1,0,0,0
2021,86130,49,14,0,0,0,1,0
2021,86130,49,14,1,0,0,0,0
2021,86130,50,13,1,0,0,0,0
2021,86130,51,13,1,0,0,0,0
2021,86130,51,13,0,0,0,1,0
2021,86130,51,13,0,1,0,0,0
2021,86130,52,13,1,0,0,0,0
2021,86130,53,13,1,0,0,0,0
2021,86130,54,13,1,0,0,0,0
2021,86130,55,13,1,0,0,0,0
2021,86130,56,13,1,0,0,0,0
2021,86130,57,13,1,0,0,0,0
2021,86130,58,13,1,0,0,0,0
2021,86130,59,13,1,0,0,0,0
2021,86130,60,13,1,0,0,0,0
2021,86130,61,13,1,0,0,0,0
2021,86130,62,14,0,0,0,1,0
2021,86130,62,14,0,1,0,0,0
2021,86130,62,14,1,0,0,0,0
2021,86130,63,5,0,1,0,0,0
2021,86130,63,5,1,0,0,0,0
2021,86130,63,5,0,0,0,1,0
2021,86130,63,30,0,0,0,1,0
2021,86130,63,30,0,1,0,0,0
2021,86130,63,30,1,0,0,0,0
2021,86130,63,55,0,1,0,0,0
2021,86130,63,55,0,0,0,1,0
2021,86130,63,55,1,0,0,0,0
2021,86130,64,13,1,0,0,0,0
2021,86130,65,13,1,0,0,0,0
2021,86130,66,13,1,0,0,0,0
2021,86130,67,14,0,0,0,1,0
2021,86130,67,14,0,1,0,0,0
2021,86130,67,14,1,0,0,0,0
2021,86130,68,14,1,0,0,0,0
2021,86130,68,14,0,0,0,1,0
2021,86130,68,14,0,1,0,0,0
2021,86130,69,14,0,0,0,1,0
2021,86130,69,14,1,0,0,0,0
2021,86130,69,14,0,1,0,0,0
2021,86130,70,14,0,0,0,1,0
2021,86130,70,14,1,0,0,0,0
2021,86130,70,14,0,1,0,0,0
2021,86130,71,12,1,0,0,0,0
2021,86130,72,13,1,0,0,0,0
2021,86130,73,12,1,0,0,0,0
2021,86130,74,13,1,0,0,0,0
2021,86130,75,13,1,0,0,0,0
2021,86130,76,13,1,0,0,0,0
2021,86130,77,13,1,0,0,0,0
2021,86130,78,13,1,0,0,0,0
2021,86130,79,13,1,0,0,0,0
2021,86130,80,13,1,0,0,0,0
2021,86130,81,13,1,0,0,0,0
